x1,x4,3.87421247206396e-09,['x1', 'x2', 'x3', 'x4']
x1,x4,4.673922685604352e-13,['x1', 'x3', 'x2', 'x4']
x2,x1,5.197702494313678e-24,['x2', 'x3', 'x4', 'x1']
x2,x1,7.189081516874588e-28,['x2', 'x4', 'x3', 'x1']
x3,x4,7.301689147957994e-08,['x3', 'x1', 'x2', 'x4']
x3,x1,7.593949292968459e-09,['x3', 'x2', 'x4', 'x1']
x3,x1,6.8851545367671455e-16,['x3', 'x4', 'x2', 'x1']
x4,x3,8.848111465342246e-49,['x4', 'x1', 'x2', 'x3']
x4,x3,4.311610835505139e-23,['x4', 'x2', 'x1', 'x3']
x4,x1,2.0924325846203027e-26,['x4', 'x3', 'x2', 'x1']
